City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Acaraú,100,BR,1586733782,89,-2.89,-40.12,78.93,6.11
Andenes,100,NO,1586733783,82,69.31,16.12,32.0,34.45
Alice Springs,1,AU,1586733784,40,-23.7,133.88,71.6,9.17
Olenegorsk,100,RU,1586733785,95,68.15,33.3,26.91,11.79
Akçakoca,0,TR,1586733786,67,41.09,31.12,43.9,1.28
Turan,75,VN,1586733787,94,16.07,108.22,69.8,8.05
Saint George,40,US,1586733624,45,37.1,-113.58,64.4,11.41
Panguna,86,PG,1586733790,62,-6.32,155.48,80.94,1.41
Bogyiszló,86,HU,1586733791,52,46.39,18.83,52.29,8.41
Ifakara,100,TZ,1586733792,87,-8.13,36.68,72.52,1.57
Beaverton,1,US,1586733671,17,45.49,-122.8,66.99,9.17
Rawson,0,AR,1586733637,39,-43.3,-65.1,58.75,9.31
Tommot,84,RU,1586733795,85,58.96,126.29,31.51,8.05
Pakokku,8,MM,1586733796,43,21.33,95.1,78.76,2.89
Puerto Ayacucho,93,VE,1586733797,34,5.66,-67.62,93.2,2.24
Bytosh',74,RU,1586733798,71,53.82,34.09,36.86,7.45
Shache,32,CN,1586733800,21,38.42,77.24,54.82,2.57
Aksu,6,CN,1586733801,23,41.12,80.26,55.38,1.48
Hohhot,92,CN,1586733802,23,40.81,111.65,32.0,6.71
Morros,69,BR,1586733803,69,-9.45,-46.3,75.04,2.26
Valle de Allende,0,MX,1586733804,8,26.93,-105.4,76.75,12.57
Warmbad,15,NA,1586733805,57,-28.45,18.73,62.71,1.72
Scarborough,100,GB,1586733806,81,54.28,-0.4,46.0,17.22
El Rosario,5,MX,1586733807,25,24.26,-107.18,84.2,11.41
Tasiilaq,100,GL,1586733808,97,65.61,-37.64,32.0,40.26
Padang,100,ID,1586733809,77,-0.95,100.35,77.56,3.8
East London,0,ZA,1586733810,65,-33.02,27.91,64.85,12.24
Wau,96,SS,1586733812,57,7.7,28.0,78.03,3.09
Pozo Colorado,0,PY,1586733813,38,-23.49,-58.8,71.8,2.21
Van Buren,90,US,1586733814,93,35.44,-94.35,57.2,13.87
Ocós,40,GT,1586733815,59,14.51,-92.19,89.6,9.17
Skellefteå,90,SE,1586733816,86,64.75,20.95,30.2,21.92
Goianésia,47,BR,1586733817,74,-15.32,-49.12,71.8,1.79
Orlik,85,RU,1586733564,61,52.52,99.83,25.7,2.51
Princeville,43,CA,1586733819,70,45.77,-61.3,43.0,6.98
Kuito,100,AO,1586733820,59,-12.38,16.93,59.29,2.57
Hyères,78,FR,1586733821,76,43.12,6.12,60.01,3.36
Bereda,90,ES,1586733823,100,43.27,-7.54,54.0,13.87
Belle Fourche,90,US,1586733824,79,44.67,-103.85,26.01,13.87
Toora-Khem,41,RU,1586733825,56,52.47,96.11,35.64,1.14
Bermejo,20,AR,1586733826,55,-32.88,-68.8,64.4,5.82
Ust'-Ilimsk,0,RU,1586733631,78,58.0,102.66,34.47,2.24
Killybegs,42,IE,1586733545,88,54.63,-8.45,44.01,3.0
Ngunguru,17,NZ,1586733829,81,-35.62,174.5,66.99,5.99
Eirunepé,100,BR,1586733830,94,-6.66,-69.87,70.81,0.78
Winnemucca,1,US,1586733831,15,40.97,-117.74,55.4,5.82
Bosobolo,100,CD,1586733832,82,4.18,19.9,72.14,2.51
Bambanglipuro,14,ID,1586733833,78,-7.95,110.28,78.46,3.53
Abalak,98,RU,1586733835,89,58.13,68.59,40.23,7.87
San Ramon,1,US,1586733836,63,37.78,-121.98,75.0,6.93
Shimoda,75,JP,1586733837,93,34.67,138.95,53.6,41.38
Half Moon Bay,40,US,1586733731,82,37.46,-122.43,73.0,8.05
Sørland,100,NO,1586733839,88,67.67,12.69,33.01,51.58
Garissa,100,KE,1586733840,75,-0.45,39.64,80.08,11.05
Yeppoon,22,AU,1586733841,65,-23.13,150.73,77.0,10.29
Gbarnga,54,LR,1586733842,88,7.0,-9.47,74.21,2.77
Loa Janan,94,ID,1586733844,84,-0.58,117.09,79.81,3.91
Kurchum,100,KZ,1586733845,50,48.57,83.65,46.85,1.68
Talara,53,PE,1586733798,72,-4.58,-81.27,76.03,14.43
Berezovyy,52,RU,1586733847,47,51.67,135.7,47.23,1.48
Sālūmbar,3,IN,1586733848,22,24.13,74.05,82.27,3.8
Youkounkoun,86,GN,1586733849,52,12.53,-13.13,84.83,7.65
Cabedelo,20,BR,1586733850,83,-6.98,-34.83,80.6,3.36
Bonfim,70,BR,1586733851,48,3.08,-59.95,85.75,14.56
Melenki,0,RU,1586733853,85,55.33,41.63,30.11,2.93
Una,0,IN,1586733854,39,20.82,71.03,81.21,11.7
Luleå,70,SE,1586733855,97,65.58,22.15,32.0,11.41
Mozarlândia,48,BR,1586733856,71,-14.74,-50.57,77.9,1.83
Namatanai,92,PG,1586733857,71,-3.67,152.43,83.7,3.31
Tahoua,0,NE,1586733858,12,14.89,5.27,84.92,13.49
Tezu,89,IN,1586733859,36,27.92,96.17,71.22,2.55
Katobu,92,ID,1586733860,86,-4.94,122.53,79.18,2.44
Wasilla,90,US,1586733861,64,61.58,-149.44,39.2,4.7
Surgut,100,RU,1586733863,60,61.25,73.42,42.8,6.71
Husavik,56,IS,1586733864,88,66.04,-17.34,41.0,31.09
Necochea,100,AR,1586733865,98,-38.55,-58.74,59.0,3.0
Hickory,90,US,1586733656,93,35.73,-81.34,66.2,4.7
Vostok,0,RU,1586733867,39,46.49,135.88,45.95,2.48
Yaan,34,NG,1586733868,47,7.38,8.57,81.72,5.73
San Quintín,6,MX,1586733869,67,30.48,-115.95,61.9,15.79
Puerto Escondido,40,MX,1586733870,78,15.85,-97.07,80.6,6.93
Charter Township of Clinton,90,US,1586733756,76,42.59,-82.92,60.01,9.17
Skjervøy,100,NO,1586733724,92,70.03,20.97,32.47,16.51
Kaniama,100,CD,1586733874,73,-7.57,24.18,68.72,0.65
Abashiri,40,JP,1586733875,69,44.02,144.27,37.4,5.82
Reus,20,ES,1586733876,76,41.16,1.11,59.0,5.82
Berlevåg,100,NO,1586733877,91,70.86,29.09,32.7,24.79
Korsakov,0,RU,1586733878,64,46.63,142.78,37.4,2.24
Wakkanai,0,JP,1586733879,76,45.41,141.67,37.47,7.4
Gabú,48,GW,1586733880,58,12.28,-14.22,79.88,8.32
Summerside,40,CA,1586733881,42,46.4,-63.79,44.6,12.75
Ambon City,20,ID,1586733882,83,-3.7,128.18,78.8,8.05
Puerto Nariño,75,CO,1586733883,100,-3.77,-70.38,78.8,0.96
Plaster Rock,90,CA,1586733885,42,46.91,-67.39,48.2,6.93
Carballo,90,ES,1586733886,100,43.21,-8.69,54.0,5.82
Porto Seguro,90,BR,1586733887,94,-16.45,-39.06,75.2,9.17
Eugene,40,US,1586733658,36,44.05,-123.09,66.2,11.41
Khovd,81,MN,1586733889,35,48.01,91.64,40.39,3.13
Isabela,20,PH,1586733890,100,6.71,121.97,71.6,0.89
Nawanshahr,97,IN,1586733891,38,31.12,76.13,75.07,3.51
Riyadh,55,SA,1586733892,30,24.69,46.72,69.8,6.93
Erenhot,98,CN,1586733893,28,43.65,111.98,47.34,9.95
Tiznit Province,79,MA,1586733894,71,29.58,-9.5,55.31,9.55
Tupelo,90,US,1586733896,93,34.26,-88.7,69.8,9.17
Amiens,16,FR,1586733647,81,49.9,2.3,54.0,3.36
Tougan,60,BF,1586733898,23,13.07,-3.07,90.52,4.16
Mandera,99,KE,1586733899,12,3.94,41.87,80.01,3.0
Mersing,93,MY,1586733900,88,2.43,103.84,78.8,3.36
Sheridan,75,US,1586733901,67,44.83,-106.92,24.01,13.87
Khakhea,94,BW,1586733902,29,-24.69,23.49,74.59,3.67
Atar,1,MR,1586733903,19,20.52,-13.05,79.03,12.15
General Roca,2,AR,1586733905,72,-39.03,-67.58,60.8,6.62
Vestmannaeyjar,100,IS,1586733906,88,63.44,-20.27,44.28,22.97
Praia,20,CV,1586733609,64,14.92,-23.51,75.2,11.41
Dickinson,20,US,1586733908,19,29.46,-95.05,89.6,23.04
Hofn,84,IS,1586733909,83,64.25,-15.21,35.33,17.92
Alyangula,79,AU,1586733910,88,-13.85,136.42,82.4,6.42
Novy Urengoy,100,RU,1586733911,98,66.08,76.63,28.51,5.66
Verkhoyansk,50,RU,1586733912,92,67.54,133.38,22.21,7.83
Ngaoundéré,78,CM,1586733914,32,7.32,13.58,71.56,2.17
Olinda,40,BR,1586733915,70,-8.01,-34.86,84.2,5.82
Lavrentiya,100,RU,1586733916,97,65.58,-171.0,29.8,4.56
Botwood,20,CA,1586733917,51,49.15,-55.35,39.2,9.17
Ibiapina,100,BR,1586733918,81,-3.92,-40.89,68.14,1.07
Seymchan,100,RU,1586733919,90,62.88,152.43,21.78,0.6
Thunder Bay,90,CA,1586733885,47,48.4,-89.32,37.99,1.81
Fairbanks,90,US,1586733921,60,64.84,-147.72,46.4,4.7
Sept-Îles,75,CA,1586733922,51,50.2,-66.38,39.2,6.93
Boulder City,90,US,1586733822,55,35.98,-114.83,75.0,8.05
Vila Franca do Campo,75,PT,1586733925,77,37.72,-25.43,60.8,9.17
Bengkulu,93,ID,1586733926,80,-3.8,102.27,78.42,3.42
Atikokan,100,CA,1586733927,75,48.76,-91.62,31.26,5.77
Pacific Grove,90,US,1586733711,87,36.62,-121.92,63.0,13.87
Petropavlovsk-Kamchatskiy,17,RU,1586733706,55,53.05,158.65,35.6,4.47
Olinalá,50,MX,1586733930,14,17.83,-98.85,85.96,9.98
Pimentel,55,PE,1586733931,80,-6.84,-79.93,73.0,13.18
Kaohsiung City,40,TW,1586733932,46,22.62,120.31,66.2,9.17
Kaabong,100,UG,1586733933,49,3.48,34.15,67.95,4.59
Brae,96,GB,1586733935,59,60.4,-1.35,37.4,21.92
Gualaquiza,94,EC,1586733936,63,-3.4,-78.55,67.6,1.63
Leh,0,IN,1586733937,18,34.17,77.58,32.99,1.05
Loukhi,100,RU,1586733938,96,66.08,33.04,31.39,18.01
Ouadda,97,CF,1586733939,39,8.08,22.4,69.55,1.03
Port Montt,75,CL,1586733646,66,-41.47,-72.94,53.6,6.93
Ambatondrazaka,73,MG,1586733941,73,-17.83,48.42,63.82,3.78
Mariehamn,90,AX,1586733942,86,60.1,19.93,39.2,4.7
Leander,1,US,1586733784,19,30.58,-97.85,82.99,20.8
Erciş,40,TR,1586733944,60,39.03,43.36,42.8,12.75
Sola,75,VU,1586733946,79,-13.88,167.55,86.0,5.82
Mayya,34,RU,1586733947,91,61.73,130.28,32.0,11.18
Port Augusta,63,AU,1586733948,72,-32.5,137.77,63.0,3.36
Sabha,0,LY,1586733949,17,27.04,14.43,74.12,15.86
Grand Gaube,40,MU,1586733950,83,-20.01,57.66,77.0,12.75
Honiara,20,SB,1586733951,70,-9.43,159.95,87.8,6.93
Aasiaat,99,GL,1586733952,96,68.71,-52.87,33.01,8.9
Grand Baie,40,MU,1586733953,83,-20.02,57.58,77.0,12.75
Westport,1,US,1586733954,58,41.14,-73.36,61.0,5.82
Lunenburg,62,CA,1586733688,48,44.38,-64.32,48.0,1.01
Mfou,100,CM,1586733957,94,3.72,11.64,73.4,1.12
Shenjiamen,3,CN,1586733958,66,29.96,122.3,53.08,22.82
Lososina,50,RU,1586733959,77,49.0,140.31,38.43,4.23
Nemuro,0,JP,1586733960,87,43.32,145.57,34.02,10.22
Cairns,0,AU,1586733918,74,-16.92,145.77,84.99,5.82
